year,Base case cost,Modeled solar power (pv)
2016,220429.869079,226280.965065
2017,262538.555365,268024.357959
2018,294465.175097,299689.123778
2019,337340.678706,342210.470501
2020,357774.545132,362487.820882
2021,371863.847579,376483.858137
2022,382623.258918,387186.033191
2023,392361.110667,396884.812691
2024,399249.075808,403751.4465
2025,407162.760948,411636.001851
2026,416465.985421,420894.183891
2027,423784.114251,428184.710481
2028,429449.337484,433831.188718
2029,437439.0926,441786.522121
2030,443116.190702,447454.126875
2031,453164.632009,457461.551354
2032,462543.45819,466800.263423
2033,472298.750018,476516.332037
2034,482347.659593,486519.107305
2035,488377.005338,492534.222969
