year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,18804.7906382,13915.5450722
2018,18804.7906382,13915.5450722
2019,18804.7906382,13915.5450722
2020,18804.7906382,13915.5450722
2021,18804.7906382,13915.5450722
2022,18804.7906382,13915.5450722
2023,18804.7906382,13915.5450722
2024,18804.7906382,13915.5450722
2025,18804.7906382,13915.5450722
2026,18804.7906382,13915.5450722
2027,18804.7906382,13915.5450722
2028,18804.7906382,13915.5450722
2029,18804.7906382,13915.5450722
2030,18804.7906382,13915.5450722
2031,18804.7906382,13915.5450722
