year,Base case cost,Modeled residential energy efficiency
2017,1877674.19493,2007384.33622
2018,2015373.04836,2106011.10824
2019,2191937.81514,2232997.75322
2020,2292336.65314,2303885.49158
2021,2367616.58758,2356492.71159
2022,2430471.93993,2400202.6211
2023,2483907.70345,2437188.5734
2024,2531063.74108,2469758.91177
2025,2582168.85975,2505658.14457
2026,2636369.23674,2542374.71584
2027,2692097.78488,2582469.06503
2028,2724986.72526,2601568.80257
2029,2793506.2524,2654007.37366
2030,2844752.98517,2693488.59628
2031,2910076.8056,2742267.11384
