year,Base case diesel consumed,Modeled residential energy efficiency
2017,13896.1547309,12599.252823
2018,13896.1547309,12599.252823
2019,13896.1547309,12599.252823
2020,13896.1547309,12599.252823
2021,13896.1547309,12599.252823
2022,13896.1547309,12599.252823
2023,13896.1547309,12599.252823
2024,13896.1547309,12599.252823
2025,13896.1547309,12599.252823
2026,13896.1547309,12599.252823
2027,13896.1547309,12599.252823
2028,13896.1547309,12599.252823
2029,14968.8822758,13671.9803679
2030,14968.8822758,13671.9803679
2031,14968.8822758,13671.9803679
