year,Base case cost,Modeled non-residential energy efficiency
2017,135126.862098,142748.92012
2018,143378.573916,150634.302465
2019,155015.603402,161913.588311
2020,160516.744613,167065.370502
2021,164325.226991,170532.681955
2022,167075.797596,172950.077831
2023,168980.038785,174528.953088
2024,170672.697619,175903.871737
2025,172576.938808,177497.819778
2026,174904.344705,179522.205035
2027,177020.168248,181342.10998
2028,178501.244728,182534.203439
2029,180828.650625,184579.399375
2030,182098.144751,185573.29782
2031,184425.550648,187631.567323
