year,Base case cost,Modeled solar power (pv)
2016,313471.643902,319064.504725
2017,362196.330313,367305.094107
2018,397918.744138,402641.036758
2019,445577.382983,449839.236923
2020,467350.35769,471334.678404
2021,482099.086927,485861.032046
2022,493160.633855,496729.578154
2023,501456.79405,504855.352202
2024,507909.363091,511153.595492
2025,515283.72771,518371.390543
2026,524501.683483,527424.665106
2027,532378.860516,535146.893304
2028,538402.298013,541030.723909
2029,546685.410291,549166.063582
2030,552207.485142,554561.105126
2031,561410.943228,563617.916481
2032,570164.973008,572228.757959
2033,579361.18225,581285.163132
2034,589012.361538,590794.290896
2035,594974.908749,596640.174832
