year,Base case diesel consumed,"Jade creek, east fork"
2021,92179.5577298,77475.4668722
2022,92179.5577298,77475.4668722
2023,92179.5577298,77475.4668722
2024,92179.5577298,77475.4668722
2025,92179.5577298,77475.4668722
2026,92179.5577298,77475.4668722
2027,92107.0692934,77402.9784358
2028,92034.580857,77330.4899994
2029,92034.580857,77330.4899994
2030,92034.580857,77330.4899994
2031,92034.580857,77330.4899994
2032,91962.0924206,77258.001563
2033,91962.0924206,77258.001563
2034,91889.6039842,77185.5131265
2035,91817.1155477,77113.0246901
2036,91817.1155477,77113.0246901
2037,91817.1155477,77113.0246901
2038,91744.6271113,77040.5362537
2039,91744.6271113,77040.5362537
2040,91672.1386749,76968.0478173
2041,91672.1386749,76968.0478173
2042,91599.6502385,76895.5593809
2043,91527.1618021,76823.0709444
2044,91527.1618021,76823.0709444
2045,91454.6733656,76750.582508
2046,91454.6733656,76750.582508
2047,91454.6733656,76750.582508
2048,91382.1849292,76678.0940716
2049,91382.1849292,76678.0940716
2050,91309.6964928,76605.6056352
