year,Base case diesel consumed,Modeled non-residential ashp
2017,10047.2502771,-11794.5981514
2018,10047.2502771,-11794.5981514
2019,10047.2502771,-11794.5981514
2020,10047.2502771,-11794.5981514
2021,10047.2502771,-11794.5981514
2022,10047.2502771,-11794.5981514
2023,10047.2502771,-11794.5981514
2024,10047.2502771,-11794.5981514
2025,10047.2502771,-11794.5981514
2026,10047.2502771,-11794.5981514
2027,10047.2502771,-11794.5981514
2028,10047.2502771,-11794.5981514
2029,10047.2502771,-11794.5981514
2030,10047.2502771,-11794.5981514
2031,10047.2502771,-11794.5981514
