year,Base case cost,Modeled non-residential energy efficiency
2017,879760.373961,847779.791744
2018,927371.096254,888735.218081
2019,990852.059311,943934.354823
2020,1020150.96534,968576.453538
2021,1039683.56935,984514.203305
2022,1054333.02237,996117.45085
2023,1065320.11213,1004478.02644
2024,1073865.62639,1010687.78002
2025,1083631.92839,1018023.9391
2026,1095839.8059,1027578.39222
2027,1106826.89566,1036072.33051
2028,1115372.40992,1042412.3211
2029,1126359.49968,1050968.34381
2030,1133684.22619,1056276.28477
2031,1145892.1037,1065984.19472
