year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,64606.33,484503.29,598717.54,75894.5,395257.09,268648.72
2018,68374.87,512897.69,621236.37,79547.31,414473.41,278051.12
2019,73406.14,550756.89,665028.14,84432.2,440095.17,295239.58
2020,75720.99,568230.37,673215.28,86672.08,451920.59,299183.6
2021,77268.39,579879.36,686453.23,88173.98,459804.21,304402.76
2022,78431.58,588616.1,696381.69,89305.85,465716.93,308317.14
2023,79309.35,595168.65,703828.03,90165.71,470151.46,311252.92
2024,79990.91,600265.08,709619.63,90832.12,473600.54,313536.31
2025,80771.26,606089.58,716238.6,91596.63,477542.35,316145.89
2026,81731.62,613370.19,724512.32,92521.63,482469.61,319407.87
2027,82578.67,619922.75,731958.67,93319.17,486904.15,322343.65
2028,83250.99,625019.18,724573.14,93966.92,490353.23,320298.68
2029,84118.65,631571.73,731886.49,94806.35,494787.77,323195.31
2030,84696.07,635940.1,736762.05,95363.94,497744.12,325126.41
2031,85659.36,643220.72,744887.99,96295.14,502671.39,328344.89
