year,Base case diesel consumed,Modeled residential ashp
2017,13025.625798,-72667.1082414
2018,12800.9964758,-72891.7375636
2019,12800.9964758,-72891.7375636
2020,12576.3671535,-73116.3668858
2021,12576.3671535,-73116.3668858
2022,12576.3671535,-73116.3668858
2023,12576.3671535,-73116.3668858
2024,12576.3671535,-73116.3668858
2025,12576.3671535,-73116.3668858
2026,12576.3671535,-73116.3668858
2027,12576.3671535,-73116.3668858
2028,12351.7378313,-73340.9962081
2029,12351.7378313,-73340.9962081
2030,12351.7378313,-73340.9962081
2031,12351.7378313,-73340.9962081
