year,Base case cost,Modeled residential energy efficiency
2017,867366.255811,798209.144713
2018,899287.489796,819597.491902
2019,960267.720288,867237.845178
2020,972398.877882,872219.720837
2021,990855.990904,885327.493782
2022,1004698.82567,894741.977703
2023,1015080.95174,901396.253044
2024,1023155.93869,906223.423643
2025,1032384.4952,912024.796372
2026,1043920.19084,919733.520973
2027,1054302.31691,926546.409803
2028,1044871.81993,914022.992466
2029,1055081.80142,920737.576148
2030,1061888.45574,924742.898694
2031,1073232.87961,932442.863759
