year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,63598.5979522,47062.9624846
2018,63598.5979522,47062.9624846
2019,63598.5979522,47062.9624846
2020,63598.5979522,47062.9624846
2021,63598.5979522,47062.9624846
2022,63598.5979522,47062.9624846
2023,63598.5979522,47062.9624846
2024,63598.5979522,47062.9624846
2025,63598.5979522,47062.9624846
2026,63598.5979522,47062.9624846
2027,63598.5979522,47062.9624846
2028,63598.5979522,47062.9624846
2029,63598.5979522,47062.9624846
2030,63598.5979522,47062.9624846
2031,63598.5979522,47062.9624846
