year,Base case diesel consumed,Modeled non-residential ashp
2017,8859.4065174,-10220.1728682
2018,8859.4065174,-10220.1728682
2019,8859.4065174,-10220.1728682
2020,8859.4065174,-10220.1728682
2021,8859.4065174,-10220.1728682
2022,8859.4065174,-10220.1728682
2023,8859.4065174,-10220.1728682
2024,8859.4065174,-10220.1728682
2025,8859.4065174,-10220.1728682
2026,8859.4065174,-10220.1728682
2027,8859.4065174,-10220.1728682
2028,8859.4065174,-10220.1728682
2029,8859.4065174,-10220.1728682
2030,8859.4065174,-10220.1728682
2031,8859.4065174,-10220.1728682
