year,Base case cost,Modeled non-residential energy efficiency
2017,14202763.4783,14088822.9961
2018,14944464.6558,14712855.334
2019,15964303.7749,15585063.9653
2020,16427867.0109,15963400.0408
2021,16767813.3839,16232600.435
2022,17015047.1097,16420129.092
2023,17169568.1884,16525967.8251
2024,17324089.267,16632546.5761
2025,17478610.3457,16739848.0013
2026,17694939.8558,16902820.2976
2027,17849460.9344,17011516.6543
2028,18003982.0131,17120886.0537
2029,18189407.3075,17258395.2885
2030,18313024.1704,17341581.2519
2031,18529353.6805,17507841.7372
