year,Base case diesel consumed,Modeled wind power
2019,2148636.27936,1693846.34743
2020,2152637.5931,1697847.66117
2021,2156457.02894,1701667.09702
2022,2160094.58689,1705304.65496
2023,2163610.8929,1708820.96097
2024,2167127.19892,1712337.26699
2025,2170643.50493,1715853.573
2026,2174099.18498,1719309.25305
2027,2177433.61309,1722643.68116
2028,2180707.41524,1725917.48331
2029,2184648.10301,1729858.17109
2030,2188467.53886,1733677.60693
2031,2191983.84487,1737193.91294
2032,2194893.89123,1740103.9593
2033,2197622.05968,1742832.12775
2034,2200350.22814,1745560.29621
2035,2203199.64853,1748409.7166
2036,2206291.57278,1751501.64086
2037,2209626.0009,1754836.06897
2038,2212839.17708,1758049.24516
