year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,14006.1032897,9103.96713832
2018,14069.5413285,9145.20186351
2019,14132.2988018,9185.99422117
2020,14192.4634543,9225.10124529
2021,14248.9984245,9261.84897594
2022,14303.5904472,9297.33379067
2023,14356.2755522,9331.57910894
2024,14408.8352197,9365.74289281
2025,14460.6956396,9399.45216572
2026,14512.2985121,9432.99403288
2027,14562.075868,9465.34931421
2028,14610.6161962,9496.9005275
2029,14669.8841036,9535.42466736
2030,14726.3763717,9572.14464161
2031,14779.2816597,9606.53307879
