year,Base case cost,Modeled solar power
2020,5876700.62917,
2021,6124337.9622,
2022,6307476.19372,
2023,6425924.35192,
2024,6544724.14072,
2025,6663875.56013,
2026,6826671.44082,
2027,6946013.22576,
2028,7065492.02538,
2029,7209338.73995,
2030,7309481.57978,
2031,7474664.91101,
2032,7616281.80255,
2033,7779582.09128,
2034,7943264.32359,
2035,8063710.71363,
2036,8229467.56649,
2037,8352386.2834,
2038,8519430.83178,
2039,8641421.97142,
