year,Base case diesel consumed,Nome (penny river),Nome (osborn creek),Nome (buster creek),Nome (buster) -- buster creek,"Nome (sulphur creek) -- sulphur creek, aka alfield creek",Nome (david creek),Nome (nome river)
2021,2156457.02894,2117847.7371,2071301.83145,2147595.52533,2061451.09314,2131998.25265,2109425.58927,2069919.92693
2022,2160094.58689,2121485.29504,2074939.38939,2151233.08327,2065088.65108,2135635.81059,2113063.14722,2073557.48487
2023,2163610.8929,2125001.60105,2078455.6954,2154749.38928,2068604.9571,2139152.1166,2116579.45323,2077073.79088
2024,2167127.19892,2128517.90707,2081972.00142,2158265.6953,2072121.26311,2142668.42262,2120095.75924,2080590.0969
2025,2170643.50493,2132034.21308,2085488.30743,2161782.00131,2075637.56912,2146184.72863,2123612.06526,2084106.40291
2026,2174099.18498,2135489.89313,2088943.98748,2165237.68136,2079093.24917,2149640.40868,2127067.7453,2087562.08296
2027,2177433.61309,2138824.32124,2092278.41559,2168572.10947,2082427.67729,2152974.83679,2130402.17342,2090896.51107
2028,2180707.41524,2142098.12339,2095552.21774,2171845.91162,2085701.47944,2156248.63894,2133675.97557,2094170.31322
2029,2184648.10301,2146038.81117,2099492.90552,2175786.5994,2089642.16721,2160189.32672,2137616.66334,2098111.001
2030,2188467.53886,2149858.24701,2103312.34136,2179606.03524,2093461.60305,2164008.76256,2141436.09919,2101930.43684
2031,2191983.84487,2153374.55302,2106828.64737,2183122.34125,2096977.90906,2167525.06857,2144952.4052,2105446.74285
2032,2194893.89123,2156284.59938,2109738.69373,2186032.38761,2099887.95542,2170435.11493,2147862.45155,2108356.78921
2033,2197622.05968,2159012.76784,2112466.86219,2188760.55607,2102616.12388,2173163.28338,2150590.62001,2111084.95766
2034,2200350.22814,2161740.93629,2115195.03064,2191488.72452,2105344.29234,2175891.45184,2153318.78847,2113813.12612
2035,2203199.64853,2164590.35668,2118044.45103,2194338.14491,2108193.71273,2178740.87223,2156168.20886,2116662.54651
2036,2206291.57278,2167682.28094,2121136.37529,2197430.06917,2111285.63698,2181832.79649,2159260.13311,2119754.47077
2037,2209626.0009,2171016.70905,2124470.8034,2200764.49728,2114620.06509,2185167.2246,2162594.56123,2123088.89888
2038,2212839.17708,2174229.88524,2127683.97959,2203977.67347,2117833.24128,2188380.40079,2165807.73741,2126302.07507
2039,2215749.22344,2177139.93159,2130594.02594,2206887.71982,2120743.28763,2191290.44714,2168717.78377,2129212.12142
2040,2218416.76593,2179807.47408,2133261.56843,2209555.26232,2123410.83013,2193957.98963,2171385.32626,2131879.66391
2041,2220963.05649,2182353.76465,2135807.859,2212101.55288,2125957.12069,2196504.2802,2173931.61682,2134425.95448
2042,2223630.59899,2185021.30714,2138475.40149,2214769.09537,2128624.66318,2199171.82269,2176599.15932,2137093.49697
2043,2226480.01938,2187870.72753,2141324.82188,2217618.51576,2131474.08357,2202021.24308,2179448.57971,2139942.91736
2044,2229329.43977,2190720.14792,2144174.24227,2220467.93615,2134323.50396,2204870.66347,2182298.0001,2142792.33775
2045,2232118.23419,2193508.94234,2146963.03669,2223256.73057,2137112.29839,2207659.45789,2185086.79452,2145581.13217
2046,2234603.89879,2195994.60694,2149448.70129,2225742.39517,2139597.96298,2210145.12249,2187572.45912,2148066.79677
2047,2237089.56338,2198480.27153,2151934.36588,2228228.05976,2142083.62758,2212630.78708,2190058.12371,2150552.46136
2048,2239453.97605,2200844.6842,2154298.77855,2230592.47243,2144448.04024,2214995.19975,2192422.53637,2152916.87403
2049,2241939.64064,2203330.34879,2156784.44314,2233078.13702,2146933.70484,2217480.86434,2194908.20097,2155402.53862
2050,2244364.67927,2205755.38742,2159209.48177,2235503.17565,2149358.74347,2219905.90297,2197333.2396,2157827.57725
2051,2244364.67927,2205755.38742,2159209.48177,2235503.17565,2149358.74347,2219905.90297,2197333.2396,2157827.57725
2052,2244364.67927,2205755.38742,2159209.48177,2235503.17565,2149358.74347,2219905.90297,2197333.2396,2157827.57725
2053,2244364.67927,2205755.38742,2159209.48177,2235503.17565,2149358.74347,2219905.90297,2197333.2396,2157827.57725
2054,2244364.67927,2205755.38742,2159209.48177,2235503.17565,2149358.74347,2219905.90297,2197333.2396,2157827.57725
2055,2244364.67927,2205755.38742,2159209.48177,2235503.17565,2149358.74347,2219905.90297,2197333.2396,2157827.57725
2056,2244364.67927,2205755.38742,2159209.48177,2235503.17565,2149358.74347,2219905.90297,2197333.2396,2157827.57725
2057,2244364.67927,2205755.38742,2159209.48177,2235503.17565,2149358.74347,2219905.90297,2197333.2396,2157827.57725
2058,2244364.67927,2205755.38742,2159209.48177,2235503.17565,2149358.74347,2219905.90297,2197333.2396,2157827.57725
2059,2244364.67927,2205755.38742,2159209.48177,2235503.17565,2149358.74347,2219905.90297,2197333.2396,2157827.57725
2060,2244364.67927,2205755.38742,2159209.48177,2235503.17565,2149358.74347,2219905.90297,2197333.2396,2157827.57725
2061,2244364.67927,2205755.38742,2159209.48177,2235503.17565,2149358.74347,2219905.90297,2197333.2396,2157827.57725
2062,2244364.67927,2205755.38742,2159209.48177,2235503.17565,2149358.74347,2219905.90297,2197333.2396,2157827.57725
2063,2244364.67927,2205755.38742,2159209.48177,2235503.17565,2149358.74347,2219905.90297,2197333.2396,2157827.57725
2064,2244364.67927,2205755.38742,2159209.48177,2235503.17565,2149358.74347,2219905.90297,2197333.2396,2157827.57725
2065,2244364.67927,2205755.38742,2159209.48177,2235503.17565,2149358.74347,2219905.90297,2197333.2396,2157827.57725
2066,2244364.67927,2205755.38742,2159209.48177,2235503.17565,2149358.74347,2219905.90297,2197333.2396,2157827.57725
2067,2244364.67927,2205755.38742,2159209.48177,2235503.17565,2149358.74347,2219905.90297,2197333.2396,2157827.57725
2068,2244364.67927,2205755.38742,2159209.48177,2235503.17565,2149358.74347,2219905.90297,2197333.2396,2157827.57725
2069,2244364.67927,2205755.38742,2159209.48177,2235503.17565,2149358.74347,2219905.90297,2197333.2396,2157827.57725
2070,2244364.67927,2205755.38742,2159209.48177,2235503.17565,2149358.74347,2219905.90297,2197333.2396,2157827.57725
