year,Base case cost,Modeled water and wastewater efficiency
2017,130106.030516,306454.842407
2018,137614.056109,306677.601877
2019,147749.842576,308859.460573
2020,152799.293179,307594.689574
2021,156693.765416,305633.516728
2022,159725.436642,303178.022481
2023,161881.818618,300216.779477
2024,164049.197535,297368.288678
2025,166219.635126,294624.455543
2026,168986.832737,292398.8931
2027,171155.501684,289851.624902
2028,173318.653737,287395.889304
2029,175944.479363,285359.061229
2030,177949.185815,282977.791219
2031,180813.827322,281287.684147
