year,Base case diesel consumed,Modeled diesel efficiency
2019,2148636.27936,1953305.70851
2020,2152637.5931,1956943.26646
2021,2156457.02894,1960415.48086
2022,2160094.58689,1963722.35172
2023,2163610.8929,1966918.99355
2024,2167127.19892,1970115.63538
2025,2170643.50493,1973312.27721
2026,2174099.18498,1976453.80452
2027,2177433.61309,1979485.10281
2028,2180707.41524,1982461.28658
2029,2184648.10301,1986043.73001
2030,2188467.53886,1989515.94442
2031,2191983.84487,1992712.58625
2032,2194893.89123,1995358.08293
2033,2197622.05968,1997838.23608
2034,2200350.22814,2000318.38922
2035,2203199.64853,2002908.77139
2036,2206291.57278,2005719.61162
2037,2209626.0009,2008750.90991
2038,2212839.17708,2011671.97917
