year,Base case cost,Nome (penny river),Nome (osborn creek),Nome (buster creek),Nome (buster) -- buster creek,"Nome (sulphur creek) -- sulphur creek, aka alfield creek",Nome (david creek),Nome (nome river)
2021,6124337.9622,6993020.63962,7034225.98801,6691034.07437,7316722.55599,7782302.71826,8035310.21608,8294926.03575
2022,6307476.19372,7154498.72411,7189070.68478,6862088.83085,7464862.48647,7930272.63824,8175551.36802,8425187.54113
2023,6425924.35192,7252785.11485,7282073.53235,6968964.10789,7551570.48205,8015004.35783,8253314.68029,8494218.82569
2024,6544724.14072,7351854.39753,7375933.33928,7076452.7804,7639272.44041,8100851.78624,8332332.88933,8564667.42551
2025,6663875.56013,7451696.46467,7470638.26217,7184548.71339,7727953.3072,8187797.01573,8412584.82524,8636508.36409
2026,6826671.44082,7594889.76415,7607915.72062,7336377.04845,7859157.61774,8318669.08403,8536484.4518,8751431.01953
2027,6946013.22576,7695735.12319,7703763.55228,7445156.77299,7949239.64436,8407244.96427,8618629.40733,8825471.13612
2028,7065492.02538,7797109.72701,7800207.99269,7554311.5861,8040042.88369,8496652.78464,8701732.89376,8900617.50244
2029,7209338.73995,7922883.02679,7920692.24763,7687985.95917,8154917.74677,8610884.00543,8809577.46024,9000288.77131
2030,7309481.57978,8006031.02355,7999464.77584,7778345.20021,8228379.46322,8682520.38854,8875359.80357,9058759.56088
2031,7474664.91101,8153528.03637,8141375.05816,7933724.1095,8364825.35743,8819175.00574,9005660.44551,9180804.9206
2032,7616281.80255,8278167.59655,8260913.82149,8065833.95484,8479102.9335,8933118.3663,9113570.90848,9280954.88489
2033,7779582.09128,8424486.66822,8401767.26101,8219757.80055,8614715.98203,9069139.18949,9243465.32517,9402859.56948
2034,7943264.32359,8571527.88878,8543401.27833,8374270.08598,8751217.68504,9206144.70788,9374454.23701,9525986.87485
2035,8063710.71363,8676370.01062,8643742.58941,8485909.88318,8846711.97392,9300949.31289,9463761.35014,9608278.37235
2036,8229467.56649,8826142.5284,8788220.68556,8642895.37551,8986266.3693,9441192.90493,9598200.27552,9735103.00403
2037,8352386.2834,8934098.26308,8891785.74778,8757396.74416,9085188.13352,9539606.02173,9691322.87301,9821451.50233
2038,8519430.83178,9085784.73214,9038285.35216,8916050.05363,9226962.98652,9682246.86478,9828361.17105,9951111.36254
2039,8641421.97142,9193424.46743,9141639.45106,9029995.05752,9325868.07395,9780815.95458,9921837.12597,10038043.5463
2040,8829298.72841,9366188.13322,9308894.15997,9209762.23899,9488497.89017,9945124.00865,10080529.4492,10189221.9272
2041,8839432.96485,9364315.49125,9304959.38432,9212608.59985,9480748.76039,9933985.31051,10065515.577,10169686.1123
2042,8850049.78397,9363206.84319,9301836.93383,9216108.35299,9473901.35468,9923827.77947,10051573.6964,10151328.2718
2043,8861390.47712,9363096.88468,9299760.37137,9220498.78633,9468187.14062,9914881.02111,10038931.2841,10134373.3987
2044,8872731.17027,9363255.3009,9297998.27594,9225052.11644,9462872.65106,9906409.75002,10026850.9759,10118081.7031
2045,8883830.57208,9363434.51041,9296301.98579,9229523.23402,9457707.22602,9898161.53053,10015078.3062,10102196.3504
2046,8893723.51717,9362663.2052,9293699.13794,9232943.2453,9451716.55114,9889160.31418,10002635.2439,10085736.996
2047,8903616.46226,9362141.8434,9291389.16028,9236514.96599,9446098.14865,9880601.92981,9990715.68192,10069895.2738
2048,8913026.82466,9361381.98414,9288882.60584,9239752.25763,9440360.71056,9871993.41563,9978824.76767,10054174.125
2049,8922919.76975,9361343.07217,9287137.93686,9243616.81333,9435460.88178,9864289.80162,9967915.68484,10039524.5787
2050,8932571.4235,9361295.64676,9285424.73313,9247381.36807,9430666.46731,9856757.31564,9957252.85822,10025208.9557
2051,8932571.4235,9351823.88979,9274326.23951,9241632.24795,9416558.97883,9839975.92921,9937414.49851,10001803.4121
2052,8932571.4235,9342574.12709,9263487.86679,9236017.87281,9402782.13455,9823587.85645,9918041.10028,9978946.43582
2053,8932571.4235,9333541.15577,9252903.51852,9230535.08463,9389328.18518,9807583.87928,9899121.76622,9956625.17009
2054,8932571.4235,9324719.89466,9242567.24085,9225180.79926,9376189.56265,9791954.99522,9880645.85394,9934827.05888
2055,8932571.4235,9316105.38186,9232473.21969,9219952.00496,9363358.8766,9776692.41314,9862602.97085,9913539.84092
2056,8932571.4235,9307692.7717,9222615.77715,9214845.76053,9350828.90976,9761787.54783,9844982.96785,9892751.54213
2057,8932571.4235,9299477.33208,9212989.36839,9209859.19369,9338592.61398,9747232.01526,9827775.93362,9872450.46904
2058,8932571.4235,9291454.44189,9203588.57868,9204989.49955,9326643.10649,9733017.62812,9810972.1894,9852625.20253
2059,8932571.4235,9283619.58814,9194408.1199,9200233.93884,9314973.6655,9719136.39057,9794562.28282,9833264.59056
2060,8932571.4235,9275968.36374,9185442.8281,9195589.83656,9303577.72699,9705580.49448,9778536.98337,9814357.74286
2061,8932571.4235,9268496.46498,9176687.6604,9191054.58047,9292448.88088,9692342.31481,9762887.277,9795894.02456
2062,8932571.4235,9261199.68878,9168137.69187,9186625.6194,9281580.86701,9679414.40488,9747604.3605,9777863.04952
2063,8932571.4235,9254073.9308,9159788.11325,9182300.46212,9270967.57225,9666789.49286,9732679.6374,9760254.67549
2064,8932571.4235,9247115.18278,9151634.2279,9178076.67573,9260603.02661,9654460.47726,9718104.71254,9743058.99779
2065,8932571.4235,9240319.53049,9143671.44931,9173951.88437,9250481.4001,9642420.42307,9703871.3876,9726266.34393
2066,8932571.4235,9233683.15114,9135895.29816,9169923.76771,9240596.99898,9630662.55737,9689971.65589,9709867.2675
2067,8932571.4235,9227202.31205,9128301.4007,9165990.06011,9230944.26369,9619180.26686,9676397.6994,9693852.54474
2068,8932571.4235,9220873.36758,9120885.48514,9162148.54875,9221517.76431,9607967.09245,9663141.8824,9678213.1669
2069,8932571.4235,9214692.7578,9113643.38018,9158397.07285,9212312.1986,9597016.72692,9650196.74875,9662940.33715
2070,8932571.4235,9208657.00605,9106571.01204,9154733.52215,9203322.38831,9586323.01055,9637555.01663,9648025.46429
