year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,21559.98,698.9,36737.76,12013.86
2018,21559.98,701.88,36737.76,12013.86
2019,21559.98,705.22,36737.76,12013.86
2020,21559.98,707.85,36737.76,12013.86
2021,21559.98,710.22,36737.76,12013.86
2022,21559.98,711.63,36737.76,12013.86
2023,21559.98,713.33,36737.76,12013.86
2024,21559.98,714.3,36737.76,12013.86
2025,21559.98,715.22,36737.76,12013.86
2026,21559.98,717.29,36737.76,12013.86
2027,21559.98,719.01,36737.76,12013.86
2028,21559.98,720.5,36737.76,12013.86
2029,21559.98,721.77,36737.76,12013.86
2030,21559.98,722.96,36737.76,12013.86
2031,21559.98,724.0,36737.76,12013.86
2032,21559.98,724.74,36737.76,12013.86
2033,21559.98,725.13,36737.76,12013.86
2034,21559.98,725.57,36737.76,12013.86
2035,21559.98,725.63,36737.76,12013.86
2036,21559.98,725.59,36737.76,12013.86
2037,21559.98,725.31,36737.76,12013.86
2038,21559.98,724.87,36737.76,12013.86
2039,21559.98,724.26,36737.76,12013.86
2040,21559.98,723.98,36737.76,12013.86
