year,Base case cost,"Ophir  (o-4, not identified) -- unnamed creek, o-4",Takotna (ganes creek),Takotna (gold creek)
2021,108446.683859,5373240.93577,17722135.2865,134981.707638
2022,111033.881089,5266130.14436,17377070.5567,135986.928224
2023,112758.679241,5161978.94719,17040369.9276,136345.546366
2024,114267.877625,5060366.93451,16711621.1617,136559.632439
2025,115992.675778,4960995.84769,16390490.8496,136963.728911
2026,118148.673469,4863689.54432,16076724.2966,137724.850013
2027,119873.471622,4768877.12535,15770442.9938,138172.317996
2028,121382.670006,4676385.01445,15471400.6052,138473.171503
2029,123323.067928,4585799.29111,15179206.0306,139129.542649
2030,124616.666542,4497673.56031,14894067.2536,139303.248164
2031,126557.064464,4411233.92194,14615377.7767,139999.065475
2032,128713.062155,4326673.9442,14343129.9995,140881.456082
2033,130869.059846,4244067.53127,14077245.595,141782.433052
2034,133240.657306,4163248.10697,13817501.0285,142869.101628
2035,134534.255921,4084895.69305,13564197.0066,143135.791218
2036,136905.853381,4007758.73125,13316447.3741,144257.49502
2037,138199.451996,3933002.47284,13074857.1573,144558.398705
2038,140571.049456,3859377.38145,12838546.7871,145713.514708
2039,142295.847609,3787809.10532,12607978.9398,146382.129221
2040,144667.445069,3717533.19467,12382577.9005,147569.109582
2041,144667.445069,3650201.91719,12163258.8354,146928.514724
2042,144667.445069,3584448.71653,11949080.0608,146302.933808
2043,144667.445069,3520236.60591,11739921.0993,145692.014939
2044,144667.445069,3457529.46706,11535664.3024,145095.414485
2045,144667.445069,3396292.02686,11336194.7745,144512.796856
2046,144667.445069,3336489.83913,11141400.3135,143943.834326
2047,144667.445069,3278089.2654,10951171.3484,143388.206858
2048,144667.445069,3221057.45462,10765400.8731,142845.601904
2049,144667.445069,3165362.3271,10583984.3939,142315.714255
2050,144667.445069,3110972.55418,10406819.8636,141798.245848
2051,144667.445069,3057857.54162,10233807.6271,141292.905608
2052,144667.445069,3005987.41197,10064850.3643,140799.409278
2053,144667.445069,2955332.98889,9899853.03873,140317.479272
2054,144667.445069,2905865.77852,9738722.83686,139846.844498
2055,144667.445069,2857557.95592,9581369.12418,139387.240226
2056,144667.445069,2810382.34794,9427703.38923,138938.407929
2057,144667.445069,2764312.41813,9277639.19447,138500.095139
2058,144667.445069,2719322.25272,9131092.13065,138072.055308
2059,144667.445069,2675386.54397,8987979.76254,137654.047657
2060,144667.445069,2632480.57825,8848221.59009,137245.83706
2061,144667.445069,2590580.22146,8711739.00094,136847.193901
2062,144667.445069,2549661.90394,8578455.22138,136457.893939
2063,144667.445069,2509702.60959,8448295.28075,136077.718195
2064,144667.445069,2470679.86132,8321185.9641,135706.452821
2065,144667.445069,2432571.70905,8197055.77316,135343.888983
2066,144667.445069,2395356.71572,8075834.88072,134989.822727
2067,144667.445069,2359013.94948,7957455.10516,134644.054904
2068,144667.445069,2323522.96653,7841849.85464,134306.391013
2069,144667.445069,2288863.80386,7728954.10336,133976.641122
2070,144667.445069,2255016.96519,7618704.34585,133654.619743
