year,Base case diesel consumed,"Ophir  (o-4, not identified) -- unnamed creek, o-4",Takotna (ganes creek),Takotna (gold creek)
2021,21559.9769104,0.0,0.0,16931.0395268
2022,21559.9769104,0.0,0.0,16931.0395268
2023,21559.9769104,0.0,0.0,16931.0395268
2024,21559.9769104,0.0,0.0,16931.0395268
2025,21559.9769104,0.0,0.0,16931.0395268
2026,21559.9769104,0.0,0.0,16931.0395268
2027,21559.9769104,0.0,0.0,16931.0395268
2028,21559.9769104,0.0,0.0,16931.0395268
2029,21559.9769104,0.0,0.0,16931.0395268
2030,21559.9769104,0.0,0.0,16931.0395268
2031,21559.9769104,0.0,0.0,16931.0395268
2032,21559.9769104,0.0,0.0,16931.0395268
2033,21559.9769104,0.0,0.0,16931.0395268
2034,21559.9769104,0.0,0.0,16931.0395268
2035,21559.9769104,0.0,0.0,16931.0395268
2036,21559.9769104,0.0,0.0,16931.0395268
2037,21559.9769104,0.0,0.0,16931.0395268
2038,21559.9769104,0.0,0.0,16931.0395268
2039,21559.9769104,0.0,0.0,16931.0395268
2040,21559.9769104,0.0,0.0,16931.0395268
2041,21559.9769104,0.0,0.0,16931.0395268
2042,21559.9769104,0.0,0.0,16931.0395268
2043,21559.9769104,0.0,0.0,16931.0395268
2044,21559.9769104,0.0,0.0,16931.0395268
2045,21559.9769104,0.0,0.0,16931.0395268
2046,21559.9769104,0.0,0.0,16931.0395268
2047,21559.9769104,0.0,0.0,16931.0395268
2048,21559.9769104,0.0,0.0,16931.0395268
2049,21559.9769104,0.0,0.0,16931.0395268
2050,21559.9769104,0.0,0.0,16931.0395268
2051,21559.9769104,0.0,0.0,16931.0395268
2052,21559.9769104,0.0,0.0,16931.0395268
2053,21559.9769104,0.0,0.0,16931.0395268
2054,21559.9769104,0.0,0.0,16931.0395268
2055,21559.9769104,0.0,0.0,16931.0395268
2056,21559.9769104,0.0,0.0,16931.0395268
2057,21559.9769104,0.0,0.0,16931.0395268
2058,21559.9769104,0.0,0.0,16931.0395268
2059,21559.9769104,0.0,0.0,16931.0395268
2060,21559.9769104,0.0,0.0,16931.0395268
2061,21559.9769104,0.0,0.0,16931.0395268
2062,21559.9769104,0.0,0.0,16931.0395268
2063,21559.9769104,0.0,0.0,16931.0395268
2064,21559.9769104,0.0,0.0,16931.0395268
2065,21559.9769104,0.0,0.0,16931.0395268
2066,21559.9769104,0.0,0.0,16931.0395268
2067,21559.9769104,0.0,0.0,16931.0395268
2068,21559.9769104,0.0,0.0,16931.0395268
2069,21559.9769104,0.0,0.0,16931.0395268
2070,21559.9769104,0.0,0.0,16931.0395268
