year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,49451.0,39877.6801432
2018,49454.0,39880.6801432
2019,49457.0,39883.6801432
2020,49460.0,39886.6801432
2021,49462.0,39888.6801432
2022,49464.0,39890.6801432
2023,49465.0,39891.6801432
2024,49466.0,39892.6801432
2025,49467.0,39893.6801432
2026,49469.0,39895.6801432
2027,49471.0,39897.6801432
2028,49473.0,39899.6801432
2029,49474.0,39900.6801432
2030,49475.0,39901.6801432
2031,49476.0,39902.6801432
2032,49477.0,39903.6801432
2033,49477.0,39903.6801432
2034,49478.0,39904.6801432
2035,49478.0,39904.6801432
2036,49478.0,39904.6801432
