year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,698.903634004,454.287362102
2018,701.884388412,456.224852468
2019,705.216198789,458.390529213
2020,707.849872481,460.102417113
2021,710.217478374,461.641360943
2022,711.634450474,462.562392808
2023,713.333391386,463.666704401
2024,714.303490211,464.297268637
2025,715.215468094,464.890054261
2026,717.287671561,466.236986515
2027,719.014850478,467.359652811
2028,720.504610832,468.327997041
2029,721.769015461,469.14986005
2030,722.955422884,469.921024875
2031,724.002422294,470.601574491
