year,Base case diesel consumed,Modeled transmission and interties
2021,21559.9769104,0.0
2022,21559.9769104,0.0
2023,21559.9769104,0.0
2024,21559.9769104,0.0
2025,21559.9769104,0.0
2026,21559.9769104,0.0
2027,21559.9769104,0.0
2028,21559.9769104,0.0
2029,21559.9769104,0.0
2030,21559.9769104,0.0
2031,21559.9769104,0.0
2032,21559.9769104,0.0
2033,21559.9769104,0.0
2034,21559.9769104,0.0
2035,21559.9769104,0.0
2036,21559.9769104,0.0
2037,21559.9769104,0.0
2038,21559.9769104,0.0
2039,21559.9769104,0.0
2040,21559.9769104,0.0
