year,Base case diesel consumed,Modeled residential energy efficiency
2017,12013.8618987,10159.5143903
2018,12013.8618987,10159.5143903
2019,12013.8618987,10159.5143903
2020,12013.8618987,10159.5143903
2021,12013.8618987,10159.5143903
2022,12013.8618987,10159.5143903
2023,12013.8618987,10159.5143903
2024,12013.8618987,10159.5143903
2025,12013.8618987,10159.5143903
2026,12013.8618987,10159.5143903
2027,12013.8618987,10159.5143903
2028,12013.8618987,10159.5143903
2029,12013.8618987,10159.5143903
2030,12013.8618987,10159.5143903
2031,12013.8618987,10159.5143903
2032,12013.8618987,10159.5143903
2033,12013.8618987,10159.5143903
2034,12013.8618987,10159.5143903
2035,12013.8618987,10159.5143903
2036,12013.8618987,10159.5143903
