year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,12820.1945173,8333.12643625
2018,12781.4935255,8307.97079156
2019,12777.9737812,8305.68295778
2020,12761.9945741,8295.29647315
2021,12749.5836967,8287.22940283
2022,12734.7813366,8277.60786876
2023,12720.3865542,8268.25126023
2024,12700.8363182,8255.54360683
2025,12680.7462441,8242.48505867
2026,12656.9879703,8227.04218069
2027,12628.4440319,8208.48862073
2028,12598.2211971,8188.84377811
2029,12578.8221157,8176.23437523
2030,12553.2985714,8159.64407141
2031,12571.7637329,8171.64642636
