year,Base case diesel consumed,Modeled wind power,Kaktovik wind diesel design
2019,387734.705689,262561.996604,299592.282546
2020,386708.409485,261535.700401,298565.986342
2021,385613.693535,260440.984451,297471.270392
2022,384587.397331,259414.688247,296444.974188
2023,383629.520874,258456.81179,295487.097732
2024,382740.064165,257567.355081,294597.641022
2025,381850.607455,256677.898371,293708.184312
2026,380961.150745,255788.441661,292818.727603
2027,380071.694036,254898.984952,291929.270893
2028,379182.237326,254009.528242,291039.814183
2029,378566.459604,253393.75052,290424.036461
2030,377813.842388,252641.133304,289671.419245
2031,377061.225172,251888.516088,288918.802029
2032,376171.768462,250999.059378,288029.345319
2033,375282.311753,250109.602668,287139.88861
2034,374324.435296,249151.726212,286182.012153
2035,373434.978586,248262.269502,285292.555443
2036,372613.941623,247441.232539,284471.518481
2037,371724.484914,246551.77583,283582.061771
2038,370903.447951,245730.738867,282761.024808
