year,Base case cost,Modeled residential energy efficiency
2017,1196593.53005,1113661.66707
2018,1292147.99574,1197712.55603
2019,1411319.57019,1301398.54643
2020,1494041.0605,1376598.46734
2021,1567298.094,1444546.15773
2022,1632485.83283,1506194.33449
2023,1703116.93473,1574170.76484
2024,1772145.48732,1640987.09114
2025,1835192.71506,1701379.64733
2026,1911394.37432,1774484.18978
2027,1985924.35522,1846359.49912
2028,2058533.79313,1916756.71073
2029,2137970.69241,1993096.4932
2030,2209323.22631,2062679.24607
2031,2290833.99739,2141092.90034
2032,2376753.95763,2223473.2985
2033,2460670.42001,2304292.64407
2034,2559469.54041,2399552.2024
2035,2649244.14022,2487114.57592
2036,2740362.60578,2574693.47941
