year,Base case cost,Modeled non-residential energy efficiency
2017,723004.823306,766886.505649
2018,759791.16482,800406.423145
2019,809794.438754,845886.956131
2020,833847.046667,867803.825263
2021,850342.159315,882916.989289
2022,862144.232447,893588.377183
2023,870633.38818,901323.742759
2024,877707.684625,907769.880739
2025,886196.840359,915505.246315
2026,896100.855382,924529.839487
2027,904590.011116,932265.205063
2028,911664.307561,938711.343043
2029,921568.322584,947735.936215
2030,927227.75974,952892.846599
2031,937131.774763,961917.439771
