year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,231956.92,7774.86,205128.8,266691.16
2018,231956.92,7819.48,205128.8,270856.28
2019,231956.92,7840.82,205128.8,272938.84
2020,231956.92,7861.85,205128.8,275021.4
2021,231956.92,7887.02,205128.8,277798.14
2022,231956.92,7896.91,205128.8,278492.33
2023,231956.92,7900.65,205128.8,279186.51
2024,231956.92,7892.4,205128.8,278492.33
2025,231956.92,7886.25,205128.8,277798.14
2026,231956.92,7883.57,205128.8,277103.95
2027,231956.92,7891.97,205128.8,278492.33
2028,231956.92,7900.17,205128.8,279186.51
2029,231956.92,7824.53,205128.8,271550.47
2030,231956.92,7767.74,205128.8,265996.98
2031,231956.92,7732.69,205128.8,262526.05
2032,231956.92,,,264608.61
2033,231956.92,,,268773.72
2034,231956.92,,,272244.65
2035,231956.92,,,274327.21
2036,231956.92,,,272938.84
