year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,205129.0,146330.093975
2018,205129.0,146330.093975
2019,205129.0,146330.093975
2020,205129.0,146330.093975
2021,205129.0,146330.093975
2022,205129.0,146330.093975
2023,205129.0,146330.093975
2024,205129.0,146330.093975
2025,205129.0,146330.093975
2026,205129.0,146330.093975
2027,205129.0,146330.093975
2028,205129.0,146330.093975
2029,205129.0,146330.093975
2030,205129.0,146330.093975
2031,205129.0,146330.093975
2032,,
2033,,
2034,,
2035,,
2036,,
