year,Base case cost,Modeled biomass for heat (cordwood)
2017,474119.420385,631507.790588
2018,529504.250385,669159.558543
2019,603350.690385,720539.474803
2020,640273.910385,744693.355044
2021,664889.390385,759820.482581
2022,685402.290385,771986.146276
2023,697710.030385,778155.148605
2024,707966.480385,782876.104054
2025,722325.510385,790697.665753
2026,738735.830385,800101.506612
2027,751043.570385,806535.827452
2028,763351.310385,813032.637503
2029,777710.340385,821107.226641
2030,785915.500385,824691.146676
2031,802325.820385,834400.282263
2032,,
2033,,
2034,,
2035,,
2036,,
