year,Base case cost,Modeled biomass for heat (pellet)
2017,474119.420385,598192.455324
2018,529504.250385,636126.852548
2019,603350.690385,687267.86592
2020,640273.910385,712105.505043
2021,664889.390385,728198.536448
2022,685402.290385,741399.338935
2023,697710.030385,748780.505015
2024,707966.480385,754731.150772
2025,722325.510385,763640.410724
2026,738735.830385,774044.233641
2027,751043.570385,781551.984012
2028,763351.310385,789089.548181
2029,777710.340385,798119.528316
2030,785915.500385,802788.038291
2031,802325.820385,813337.518277
2032,,
2033,,
2034,,
2035,,
2036,,
