year,Base case cost,Modeled water and wastewater efficiency
2017,44111.0456601,80152.4206704
2018,46639.0031619,80681.6491683
2019,49804.6920265,81649.6803507
2020,51462.3782458,81653.0017943
2021,52647.3000015,81372.549146
2022,53563.728328,80936.048223
2023,54099.333906,80271.8699782
2024,54466.7810313,79517.4081786
2025,55017.7396808,78907.4401306
2026,55677.3725694,78392.6686922
2027,56246.8070917,77844.2002928
2028,56815.8564047,77317.1010797
2029,56855.1749861,76437.6607474
2030,56772.3514577,75504.3719745
2031,57178.847647,74919.38016
