year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,250552.06,10184.83,117450.34,64985.68
2018,253403.4,10375.41,117450.34,66507.03
2019,256254.74,10570.3,117450.34,68028.38
2020,259106.07,10765.87,117450.34,69549.72
2021,261957.41,10959.08,117450.34,71071.07
2022,264808.75,11152.66,117450.34,72592.42
2023,267660.08,11345.47,117450.34,74113.77
2024,270511.42,11540.9,117450.34,76395.79
2025,273362.76,11736.98,117450.34,77917.13
2026,276287.2,11933.79,117450.34,79438.48
2027,279138.54,12128.32,117450.34,80959.83
2028,281989.88,12320.62,117450.34,82481.18
2029,285133.66,12535.66,117450.34,84763.2
2030,288204.33,12745.12,117450.34,86284.54
2031,291201.89,12946.53,117450.34,87805.89
2032,293833.89,,,89327.24
2033,296392.78,,,90848.59
2034,298878.56,,,92369.93
2035,301437.45,,,93891.28
2036,304142.57,,,95412.63
