year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.61
2001,,,2.52
2004,,1.71,3.28
2005,,1.84,3.48
2008,,3.13,5.85
2009,,3.97,8.06
2010,,2.93,8.13
2011,,3.05,7.42
2012,,3.69,6.89
2013,,3.74,6.76
2014,,,6.76
2016,start of forecast,2.07,4.53
2017,,2.46,4.92
2018,,2.75,5.21
2019,,3.16,5.62
2020,,3.34,5.8
2021,,3.47,5.93
2022,,3.57,6.03
2023,,3.64,6.1
2024,,3.69,6.15
2025,,3.76,6.22
2026,,3.84,6.3
2027,,3.91,6.37
2028,,3.97,6.43
2029,,4.04,6.5
2030,,4.09,6.55
2031,,4.17,6.63
2032,,4.25,6.71
2033,,4.34,6.8
2034,,4.42,6.88
2035,,4.48,6.94
2036,,4.57,7.03
2037,,4.62,7.08
2038,,4.71,7.17
2039,,4.78,7.24
2040,,4.88,7.34
