year,Base case cost,Modeled non-residential energy efficiency
2017,2149479.75425,1797819.7656
2018,2234421.56533,1867226.20294
2019,2348908.35418,1960774.00978
2020,2404305.1875,2006039.07761
2021,2441236.40971,2036215.78949
2022,2470781.38748,2060357.159
2023,2489246.99858,2075445.51494
2024,2504019.48746,2087516.19969
2025,2522485.09857,2102604.55564
2026,2548336.95412,2123728.25396
2027,2566802.56522,2138816.6099
2028,2581575.05411,2150887.29465
2029,2603733.78743,2168993.32178
2030,2618506.27632,2181064.00654
2031,2640665.00964,2199170.03367
