year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,50669.3294642,37495.3038035
2018,50669.3294642,37495.3038035
2019,50669.3294642,37495.3038035
2020,50669.3294642,37495.3038035
2021,50669.3294642,37495.3038035
2022,50669.3294642,37495.3038035
2023,50669.3294642,37495.3038035
2024,50669.3294642,37495.3038035
2025,50669.3294642,37495.3038035
2026,50669.3294642,37495.3038035
2027,50669.3294642,37495.3038035
2028,50669.3294642,37495.3038035
2029,50669.3294642,37495.3038035
2030,50669.3294642,37495.3038035
2031,50669.3294642,37495.3038035
