year,Base case cost,Modeled biomass for heat (cordwood)
2017,200007.723777,211491.907287
2018,212176.623777,219756.318
2019,228401.823777,231037.21206
2020,235703.163777,235736.449907
2021,240976.353777,238952.435678
2022,244627.023777,240984.714398
2023,247060.803777,242132.840106
2024,249088.953777,242996.304901
2025,251928.363777,244474.538742
2026,254767.773777,245967.33362
2027,257201.553777,247174.418997
2028,259635.333777,248395.390865
2029,262474.743777,249929.853025
2030,264097.263777,250577.770568
2031,266936.673777,252138.408719
2032,,
2033,,
2034,,
2035,,
2036,,
