year,Base case cost,Modeled water and wastewater efficiency
2017,10689.468508,12477.0117781
2018,11409.1210702,12857.8441497
2019,12336.5065955,13385.3938781
2020,12807.6103961,13599.4009991
2021,13175.7502661,13744.6831815
2022,13446.0690636,13824.7147395
2023,13641.163434,13855.1030173
2024,13814.0935912,13872.5861584
2025,14036.2315501,13926.5860252
2026,14279.3447325,13997.507273
2027,14493.1268373,14050.3729438
2028,14706.6510488,14105.2939195
2029,14936.1341915,14173.4460965
2030,15092.8850102,14193.3088916
2031,15313.432002,14259.4634856
