year,Base case cost,Modeled wind power
2019,144896.105946,
2020,150238.79714,
2021,153741.729433,
2022,155789.611722,
2023,156757.295776,
2024,157918.145027,
2025,159178.127409,
2026,160403.609845,
2027,161257.936934,
2028,162082.69264,
2029,163209.603802,
2030,163925.369251,
2031,164999.298353,
2032,166993.917654,
2033,168968.8227,
2034,169951.573373,
2035,170912.815795,
2036,172823.649513,
2037,173756.552693,
2038,175631.654324,
