year,Base case cost,Modeled non-residential energy efficiency
2017,229692.763946,269288.631559
2018,246357.732821,285704.656481
2019,269473.657389,308475.271695
2020,280762.829852,319595.804707
2021,288288.944828,327009.493381
2022,294202.32088,332834.534483
2023,298502.958009,337070.928011
2024,301728.435856,340248.223157
2025,306029.072985,344484.616686
2026,310867.289755,349250.559405
2027,315167.926884,353486.952933
2028,318393.404731,356664.248079
2029,323231.621501,361430.190799
2030,325919.519706,364077.936754
2031,331295.316117,369373.428664
