year,Base case diesel consumed,Modeled non-residential ashp
2017,186258.747727,171057.948887
2018,184784.746469,169583.94763
2019,184784.746469,169583.94763
2020,184784.746469,169583.94763
2021,183310.745212,168109.946372
2022,183310.745212,168109.946372
2023,181836.743954,166635.945115
2024,180362.742697,165161.943857
2025,180362.742697,165161.943857
2026,178888.741439,163687.9426
2027,177414.740182,162213.941342
2028,175940.738924,160739.940085
2029,175940.738924,160739.940085
2030,174466.737667,159265.938827
2031,172992.736409,157791.93757
