year,Base case cost,Modeled residential energy efficiency
2017,502696.853293,559116.154517
2018,536254.449959,582654.603298
2019,588109.18676,620611.812386
2020,613433.593105,639149.054033
2021,625447.371319,646638.055783
2022,638607.268711,656242.771668
2023,643127.117568,658177.033973
2024,645139.420169,658250.14666
2025,654557.137784,665082.277724
2026,659880.979015,667497.334086
2027,663874.488693,668905.257213
2028,665417.870935,668509.449541
2029,675754.418564,675937.2123
2030,675957.899448,674524.70159
2031,681712.510728,677047.329681
2032,686155.930061,678581.964143
2033,691537.319014,680731.369908
2034,702639.579805,688601.64751
2035,704431.905833,688131.585306
2036,709363.514034,689831.210317
