year,Base case diesel consumed,Modeled wind power
2019,2881977.14516,1752124.62814
2020,2881977.14516,1752124.62814
2021,2881977.14516,1752124.62814
2022,2881913.7409,1752061.22388
2023,2881850.33664,1751997.81962
2024,2881723.52812,1751871.0111
2025,2881596.71961,1751744.20259
2026,2881533.31535,1751680.79833
2027,2881406.50683,1751553.98981
2028,2881279.69832,1751427.1813
2029,2881089.48554,1751236.96852
2030,2880899.27277,1751046.75575
2031,2880772.46425,1750919.94723
2032,2880582.25148,1750729.73446
2033,2880455.44296,1750602.92594
2034,2880265.23019,1750412.71317
2035,2880075.01741,1750222.50039
2036,2879948.2089,1750095.69188
2037,2879694.59187,1749842.07485
2038,2879504.37909,1749651.86207
