year,annotation,Average Load
2003,,3234.0
2004,,3387.0
2005,,3882.0
2006,,4135.0
2007,,4045.0
2008,,4060.0
2009,,3899.0
2010,,3984.0
2011,,4748.0
2012,,4822.0
2013,,5373.0
2014,start of forecast,4990.0
2015,,4991.0
2016,,4991.0
2017,,4991.0
2018,,4991.0
2019,,4991.0
2020,,4991.0
2021,,4991.0
2022,,4991.0
2023,,4991.0
2024,,4991.0
2025,,4990.0
2026,,4990.0
2027,,4990.0
2028,,4990.0
2029,,4990.0
2030,,4989.0
2031,,4989.0
2032,,4989.0
2033,,4988.0
2034,,4988.0
2035,,4988.0
2036,,4988.0
2037,,4987.0
2038,,4987.0
2039,,4987.0
2040,,4986.0
