year,Base case cost,Modeled non-residential energy efficiency
2017,19114039.9978,17282490.364
2018,20226543.0802,18225116.1496
2019,21766931.9635,19530290.3143
2020,22494337.825,20146622.5587
2021,22965012.206,20545425.7757
2022,23350109.4269,20871719.3169
2023,23649629.4875,21125503.1822
2024,23863572.388,21306777.3718
2025,24120303.8685,21524306.3992
2026,24462612.5092,21814345.1025
2027,24719343.9898,22031874.1299
2028,24933286.8902,22213148.3195
2029,25232806.9509,22466932.1848
2030,25446749.8513,22648206.3744
2031,25746269.912,22901990.2397
