year,annotation,line losses
2002,,0.06
2003,,0.04
2004,,0.04
2005,,0.07
2006,,0.08
2007,,0.08
2008,,0.06
2009,,0.12
2010,,0.08
2011,,0.06
2012,,0.07
2013,,-0.01
2016,start of forecast,0.04
2017,,0.04
2018,,0.04
2019,,0.04
2020,,0.04
2021,,0.04
2022,,0.04
2023,,0.04
2024,,0.04
2025,,0.04
2026,,0.04
2027,,0.04
2028,,0.04
2029,,0.04
2030,,0.04
2031,,0.04
2032,,0.04
2033,,0.04
2034,,0.04
2035,,0.04
2036,,0.04
2037,,0.04
2038,,0.04
2039,,0.04
2040,,0.04
