year,Base case diesel consumed,Modeled solar power (pv)
2016,2881786.93238,2842046.64647
2017,2881913.7409,2842491.37728
2018,2881913.7409,2842806.75619
2019,2881977.14516,2843183.01632
2020,2881977.14516,2843493.36935
2021,2881977.14516,2843801.23956
2022,2881913.7409,2844043.24254
2023,2881850.33664,2844282.80227
2024,2881723.52812,2844456.53403
2025,2881596.71961,2844627.86147
2026,2881533.31535,2844860.20808
2027,2881406.50683,2845026.78442
2028,2881279.69832,2845191.01368
2029,2881089.48554,2845289.51038
2030,2880899.27277,2845385.69741
2031,2880772.46425,2845542.9975
2032,2880582.25148,2845634.62046
2033,2880455.44296,2845787.39299
2034,2880265.23019,2845874.52462
2035,2880075.01741,2845959.43749
