year,Base case cost,Chevak water and vacuum plant heat recovery
2019,777980.315355,762664.12162
2020,803487.071745,785088.400494
2021,821022.966763,800192.188562
2022,835370.517233,812382.408026
2023,843341.378605,818720.133652
2024,851312.239977,825081.487457
2025,860877.273623,832935.087934
2026,872036.479544,842280.394277
2027,880007.340916,848709.361528
2028,887978.202288,855159.81848
2029,899137.408209,864569.606028
2030,903919.925032,868123.198661
2031,915079.130953,877573.494233
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
