year,Base case cost,Modeled non-residential energy efficiency
2017,1330316.51469,1350093.5567
2018,1388085.60686,1398537.1372
2019,1466651.57221,1466155.07206
2020,1503623.7912,1495739.90576
2021,1529042.19176,1514832.34538
2022,1549839.06494,1529786.12873
2023,1561392.88338,1536361.53618
2024,1572946.70181,1543031.11799
2025,1586811.28393,1551911.36954
2026,1602986.62974,1563000.13534
2027,1614540.44817,1569939.20265
2028,1626094.26661,1576963.92103
2029,1642269.61242,1588309.68823
2030,1649201.90348,1591262.32825
2031,1665377.24928,1602769.54745
