year,annotation,Average Load
2003,,261.0
2004,,261.0
2005,,245.0
2006,,253.0
2007,,251.0
2008,,250.0
2009,,257.0
2010,,258.0
2011,,266.0
2012,,285.0
2013,,278.0
2014,,269.0
2015,,271.0
2016,start of forecast,278.0
2017,,280.0
2018,,282.0
2019,,284.0
2020,,286.0
2021,,288.0
2022,,290.0
2023,,292.0
2024,,294.0
2025,,296.0
2026,,298.0
2027,,300.0
2028,,302.0
2029,,304.0
2030,,307.0
2031,,309.0
2032,,311.0
2033,,314.0
2034,,316.0
2035,,319.0
2036,,321.0
2037,,324.0
2038,,326.0
2039,,329.0
2040,,331.0
