year,Base case cost,Modeled water and wastewater efficiency
2017,236995.342622,188149.094514
2018,255116.549288,198859.964806
2019,277493.156471,212194.395984
2020,293934.855637,221919.223962
2021,308977.92196,230810.52243
2022,323739.998431,239554.08204
2023,337306.470493,247592.432771
2024,351255.697302,255888.055662
2025,366011.83346,264697.854165
2026,381584.224904,274025.470664
2027,396533.654016,282992.086208
2028,411826.49935,292188.500871
2029,428690.743117,302369.35991
2030,443778.779739,311485.959082
2031,461423.828156,322181.949001
