year,annotation,diesel generation efficiency
2002,,13.54
2003,,13.16
2004,,13.16
2005,,12.82
2006,,12.58
2007,,12.77
2008,,12.7
2009,,12.88
2010,,13.17
2011,,13.27
2012,,12.73
2013,,12.34
2014,,12.32
2015,,12.36
2016,start of forecast,12.34
2017,,12.34
2018,,12.34
2019,,12.34
2020,,12.34
2021,,12.34
2022,,12.34
2023,,12.34
2024,,12.34
2025,,12.34
2026,,12.34
2027,,12.34
2028,,12.34
2029,,12.34
2030,,12.34
2031,,12.34
2032,,12.34
2033,,12.34
2034,,12.34
2035,,12.34
2036,,12.34
2037,,12.34
2038,,12.34
2039,,12.34
2040,,12.34
