year,Base case diesel consumed,Modeled residential ashp
2017,83244.3937495,17994.8338689
2018,88704.3126228,23454.7527423
2019,94164.2314961,28914.6716156
2020,99624.1503695,34374.590489
2021,105864.057653,40614.4977728
2022,111323.976527,46074.4166461
2023,117563.88381,52314.32393
2024,123023.802684,57774.2428033
2025,129263.709968,64014.1500871
2026,135503.617251,70254.0573709
2027,141743.524535,76493.9646548
2028,148763.42023,83513.860349
2029,155003.327513,89753.7676329
2030,162023.223208,96773.6633272
2031,168263.130491,103013.570611
