year,Base case diesel consumed,Chevak water and vacuum plant heat recovery
2019,159417.22744,146917.22744
2020,159417.22744,146917.22744
2021,159417.22744,146917.22744
2022,159417.22744,146917.22744
2023,159417.22744,146917.22744
2024,159417.22744,146917.22744
2025,159417.22744,146917.22744
2026,159417.22744,146917.22744
2027,159417.22744,146917.22744
2028,159417.22744,146917.22744
2029,159417.22744,146917.22744
2030,159417.22744,146917.22744
2031,159417.22744,146917.22744
2032,159417.22744,146917.22744
2033,159417.22744,146917.22744
2034,159417.22744,146917.22744
2035,159417.22744,146917.22744
2036,159417.22744,146917.22744
2037,159417.22744,146917.22744
2038,159417.22744,146917.22744
