year,Base case diesel consumed,"Nikolski, sheep creek","Nikolski (unnamed stream, site #2) -- unnamed creek","Nikolski (unnamed stream, site #3) -- unnamed creek"
2021,15811.0340501,0.0,0.0,0.0
2022,15811.0340501,0.0,0.0,0.0
2023,15811.0340501,0.0,0.0,0.0
2024,15715.7886931,0.0,0.0,0.0
2025,15715.7886931,0.0,0.0,0.0
2026,15715.7886931,0.0,0.0,0.0
2027,15715.7886931,0.0,0.0,0.0
2028,15620.5433361,0.0,0.0,0.0
2029,15620.5433361,0.0,0.0,0.0
2030,15620.5433361,0.0,0.0,0.0
2031,15620.5433361,0.0,0.0,0.0
2032,15525.2979791,0.0,0.0,0.0
2033,15525.2979791,0.0,0.0,0.0
2034,15525.2979791,0.0,0.0,0.0
2035,15525.2979791,0.0,0.0,0.0
2036,15525.2979791,0.0,0.0,0.0
2037,15430.0526221,0.0,0.0,0.0
2038,15430.0526221,0.0,0.0,0.0
2039,15430.0526221,0.0,0.0,0.0
2040,15430.0526221,0.0,0.0,0.0
2041,15430.0526221,0.0,0.0,0.0
2042,15430.0526221,0.0,0.0,0.0
2043,15334.807265,0.0,0.0,0.0
2044,15334.807265,0.0,0.0,0.0
2045,15334.807265,0.0,0.0,0.0
2046,15334.807265,0.0,0.0,0.0
2047,15334.807265,0.0,0.0,0.0
2048,15334.807265,0.0,0.0,0.0
2049,15334.807265,0.0,0.0,0.0
2050,15334.807265,0.0,0.0,0.0
2051,15334.807265,0.0,0.0,0.0
2052,15334.807265,0.0,0.0,0.0
2053,15334.807265,0.0,0.0,0.0
2054,15334.807265,0.0,0.0,0.0
2055,15334.807265,0.0,0.0,0.0
2056,15334.807265,0.0,0.0,0.0
2057,15334.807265,0.0,0.0,0.0
2058,15334.807265,0.0,0.0,0.0
2059,15334.807265,0.0,0.0,0.0
2060,15334.807265,0.0,0.0,0.0
2061,15334.807265,0.0,0.0,0.0
2062,15334.807265,0.0,0.0,0.0
2063,15334.807265,0.0,0.0,0.0
2064,15334.807265,0.0,0.0,0.0
2065,15334.807265,0.0,0.0,0.0
2066,15334.807265,0.0,0.0,0.0
2067,15334.807265,0.0,0.0,0.0
2068,15334.807265,0.0,0.0,0.0
2069,15334.807265,0.0,0.0,0.0
2070,15334.807265,0.0,0.0,0.0
