year,Base case cost,"Nikolski, sheep creek","Nikolski (unnamed stream, site #2) -- unnamed creek","Nikolski (unnamed stream, site #3) -- unnamed creek"
2021,75260.5220787,381888.303365,1149301.20402,590727.623716
2022,77632.1771862,374398.121648,1123162.62425,579059.314883
2023,79371.3909317,367063.121322,1098101.46087,567649.625513
2024,80307.6802219,359403.604414,1073362.91106,556013.552734
2025,82036.4169781,352400.77109,1049387.3279,545124.023091
2026,84079.4695082,345572.521873,1025683.88745,534496.760168
2027,85808.2062644,338896.459298,1002753.58582,524113.285093
2028,86850.2209487,331843.865923,979926.406992,513441.293236
2029,88724.6861491,325472.637469,957853.186426,503532.119542
2030,89974.329616,319237.05622,936778.14165,493847.133097
2031,92005.0002497,313166.702281,915526.299039,484400.380493
2032,93617.5468139,306669.091717,894029.520793,474603.534082
2033,95791.088531,300872.510084,873541.680853,465584.54658
2034,98119.8832278,295215.406051,853361.033114,456778.554887
2035,99517.1600459,289675.493954,834389.09263,448172.092614
2036,101845.954743,284282.353241,815052.81662,439774.888563
2037,102609.849937,278366.836212,796272.076321,430934.251367
2038,105078.658356,273212.917022,777595.563999,422912.872937
2039,106775.964145,268171.591197,759963.605699,415078.282878
2040,109399.07309,263259.518599,741923.840054,407428.95689
2041,109399.07309,258433.132688,726485.089616,399954.558863
2042,109399.07309,253719.865194,711408.184881,392655.342035
2043,108723.783509,248441.775344,696009.355582,384851.91105
2044,108723.783509,243946.85319,681630.898772,377890.835434
2045,108723.783509,239557.280791,667589.437096,371092.910054
2046,108723.783509,235270.588989,653877.072162,364454.311042
2047,108723.783509,231084.366537,640486.090813,357971.30421
2048,108723.783509,226996.258673,627408.96059,351640.24285
2049,108723.783509,223003.9658,614638.325486,345457.565683
2050,108723.783509,219105.242318,602167.002229,339419.795054
2051,108723.783509,215297.895173,589987.975627,333523.534682
2052,108723.783509,211579.782724,578094.394954,327765.467909
2053,108723.783509,207948.81355,566479.570122,322142.355847
2054,108723.783509,204402.945185,555136.96765,316651.035427
2055,108723.783509,200940.183122,544060.207461,311288.417848
2056,108723.783509,197558.579548,533243.058848,306051.486622
2057,108723.783509,194256.232311,522679.437169,300937.295979
2058,108723.783509,191031.283825,512363.400332,295942.969159
2059,108723.783509,187881.920095,502289.14569,291065.696914
2060,108723.783509,184806.369557,492451.006326,286302.735704
2061,108723.783509,181802.902236,482843.448358,281651.406401
2062,108723.783509,178869.828682,473461.067535,277109.092631
2063,108723.783509,176005.49903,464298.586234,272673.239326
2064,108723.783509,173208.302131,455350.850672,268341.351373
2065,108723.783509,170476.664513,446612.827596,264110.992012
2066,108723.783509,167809.049643,438079.601907,259979.781684
2067,108723.783509,165203.957018,429746.373764,255945.396632
2068,108723.783509,162659.921231,421608.455589,252005.567448
2069,108723.783509,160175.511289,413661.269893,248158.07802
2070,108723.783509,157749.329712,405900.346383,244400.764136
