year,Base case cost,Modeled water and wastewater efficiency
2017,43678.6266548,32452.6927918
2018,48535.7546049,35811.0274571
2019,55491.1791723,40639.7912348
2020,58795.868508,42912.9537853
2021,61104.4655627,44489.5212809
2022,62749.4236966,45602.2869093
2023,63951.2118427,46405.6204291
2024,64931.6606359,47054.847812
2025,66132.5603776,47859.330224
2026,67553.7318821,48818.9214587
2027,68753.9963777,49624.6483619
2028,69843.9266473,50353.9247507
2029,71154.2399699,51238.329364
2030,72023.5856063,51814.7065857
2031,73444.2730772,52777.9425316
