year,Base case cost,Modeled residential energy efficiency
2017,43787.9720216,43787.9720216
2018,43628.6876406,43628.6876406
2019,49798.873176,49798.873176
2020,52737.0567643,52737.0567643
2021,48569.0147514,48569.0147514
2022,49871.383424,49871.383424
2023,50826.4537839,50826.4537839
2024,51607.8749874,51607.8749874
2025,45826.8905831,45826.8905831
2026,46811.1167272,46811.1167272
2027,47643.9234646,47643.9234646
2028,41287.0599921,41287.0599921
2029,42062.1979356,42062.1979356
2030,42578.9565646,42578.9565646
2031,43418.6893367,43418.6893367
2032,36686.6573167,36686.6573167
2033,37435.3766706,37435.3766706
2034,38237.5759784,38237.5759784
2035,38718.895563,38718.895563
2036,31295.6468871,31295.6468871
